YEAR,DOY,T2M,WS2M,RH2M,PRECTOTCORR
2015,1,23.47,2.56,80.67,0.17
2015,2,23.61,1.43,87.33,1.21
2015,3,24.34,2.83,81.78,0.04
2015,4,25.04,2.73,78.67,8.69
2015,5,22.23,2.59,87.05,1.4
2015,6,23.37,1.98,79.71,0.03
2015,7,24.13,3.1,75.51,0.1
2015,8,23.48,3.99,73.12,0.03
2015,9,24.36,2.74,80.99,3.02
2015,10,23.93,1.79,87.58,14.57
2015,11,21.45,3.35,90.05,20.94
2015,12,21.74,5.13,86.05,5.37
2015,13,23.33,2.84,84.73,1.28
2015,14,25.57,2.6,71.34,0.65
2015,15,22.88,3.32,71.51,0.05
2015,16,23.75,1.37,71.44,0.33
2015,17,24.87,2.18,55.71,0.0
2015,18,22.68,2.83,74.52,0.56
2015,19,20.63,4.4,75.27,3.53
2015,20,21.57,4.34,77.95,5.22
2015,21,23.43,3.25,79.67,2.7
2015,22,23.83,2.64,79.36,0.88
2015,23,24.32,3.17,82.79,1.37
2015,24,24.18,2.75,83.91,4.58
2015,25,25.54,2.49,75.28,0.67
2015,26,21.1,4.33,77.12,3.88
2015,27,20.56,3.86,83.33,34.26
2015,28,20.15,4.87,77.15,18.23
2015,29,19.18,5.77,71.43,1.25
2015,30,20.0,4.42,65.11,0.06
2015,31,20.94,2.44,63.68,0.01
2015,32,21.1,2.9,73.53,2.93
2015,33,20.96,5.14,77.11,3.38
2015,34,21.43,3.38,63.57,0.04
2015,35,21.06,3.15,70.71,2.55
2015,36,21.4,3.1,70.3,3.47
2015,37,21.69,2.6,67.04,0.22
2015,38,22.93,2.25,68.83,0.0
2015,39,24.4,2.12,71.32,0.0
2015,40,23.75,4.21,79.21,0.77
2015,41,24.15,2.87,78.44,1.34
2015,42,24.62,3.4,74.7,0.39
2015,43,24.22,2.54,77.23,7.17
2015,44,23.35,2.61,79.26,6.16
2015,45,23.43,3.35,79.74,6.77
2015,46,23.63,2.78,79.7,3.23
2015,47,24.03,3.8,75.21,0.13
2015,48,23.92,4.11,73.19,0.0
2015,49,23.78,3.46,73.47,0.14
2015,50,23.46,3.22,77.97,1.46
2015,51,23.28,2.21,82.62,1.3
2015,52,22.74,2.79,80.51,6.47
2015,53,23.29,2.88,76.85,0.32
2015,54,23.43,2.7,81.9,1.78
2015,55,22.5,3.44,82.88,2.73
2015,56,21.91,3.73,79.95,4.51
2015,57,22.4,1.47,77.63,3.02
2015,58,22.76,2.38,80.18,1.36
2015,59,23.38,2.65,79.4,0.0
2015,60,24.18,4.27,73.15,6.5
2015,61,21.79,3.74,64.22,0.02
2015,62,22.5,2.68,69.89,0.06
2015,63,23.53,2.37,81.42,0.01
2015,64,21.84,4.31,61.08,0.0
2015,65,21.99,2.91,54.2,0.0
2015,66,21.8,2.8,72.85,0.02
2015,67,22.76,1.25,85.7,1.36
2015,68,23.75,1.72,70.07,0.01
2015,69,22.51,2.56,82.22,0.19
2015,70,23.57,1.74,81.71,7.86
2015,71,22.58,3.47,83.72,2.94
2015,72,20.59,4.7,73.3,3.22
2015,73,20.86,2.46,63.39,0.01
2015,74,20.46,5.41,72.3,1.22
2015,75,20.0,2.93,57.88,0.0
2015,76,20.74,3.24,67.95,0.0
2015,77,23.44,2.47,79.67,0.23
2015,78,22.95,2.61,75.38,0.02
2015,79,22.31,4.43,75.66,2.43
2015,80,21.04,4.84,65.25,0.6
2015,81,21.82,3.8,74.35,2.43
2015,82,22.89,4.01,80.88,0.13
2015,83,21.64,2.77,86.65,16.56
2015,84,20.03,3.42,74.99,0.45
2015,85,21.63,2.35,58.59,0.01
2015,86,20.01,3.38,47.2,0.0
2015,87,19.36,2.87,62.9,0.02
2015,88,21.05,2.44,66.06,0.0
2015,89,21.19,1.58,74.65,4.19
2015,90,21.39,2.25,72.33,0.81
2015,91,22.27,3.0,77.34,4.0
2015,92,22.85,2.29,75.87,1.98
2015,93,19.5,4.35,83.23,5.94
2015,94,18.69,4.9,90.47,27.41
2015,95,19.7,3.11,79.71,0.66
2015,96,19.91,2.64,75.29,2.48
2015,97,18.84,3.25,73.17,3.65
2015,98,18.23,5.94,64.99,0.84
2015,99,18.86,5.81,67.4,0.27
2015,100,18.38,3.78,79.8,2.69
2015,101,18.84,1.57,77.38,1.24
2015,102,18.62,3.48,79.83,1.92
2015,103,18.26,3.62,70.98,0.58
2015,104,18.84,1.75,64.52,0.01
2015,105,19.91,2.49,77.68,4.95
2015,106,21.69,2.3,76.59,0.68
2015,107,20.28,2.52,90.49,7.32
2015,108,21.63,2.92,83.81,4.31
2015,109,18.81,4.8,81.86,3.89
2015,110,17.48,7.9,85.95,46.31
2015,111,16.58,9.93,85.25,68.41
2015,112,18.68,4.47,90.96,46.86
2015,113,18.56,1.65,83.76,1.69
2015,114,19.02,2.01,82.29,0.14
2015,115,17.99,1.9,74.27,1.5
2015,116,16.22,4.68,86.14,16.6
2015,117,16.03,3.65,71.21,0.09
2015,118,16.45,3.56,73.91,0.1
2015,119,17.16,2.98,75.77,1.75
2015,120,17.91,3.3,78.41,4.6
2015,121,18.4,2.78,85.47,7.46
2015,122,19.86,3.08,87.15,12.22
2015,123,19.71,3.81,92.87,7.49
2015,124,18.91,3.03,86.51,0.8
2015,125,19.11,3.23,79.37,0.09
2015,126,15.7,3.84,63.28,0.01
2015,127,15.18,4.29,66.26,0.0
2015,128,15.2,3.33,65.6,0.0
2015,129,15.29,3.54,70.09,0.01
2015,130,16.11,4.23,69.32,0.07
2015,131,16.97,5.05,69.12,0.02
2015,132,16.67,3.85,70.73,0.01
2015,133,14.17,4.93,66.67,0.55
2015,134,13.84,4.41,69.97,0.0
2015,135,16.31,4.58,78.62,0.2
2015,136,17.57,3.75,74.25,0.14
2015,137,17.51,1.68,71.17,0.02
2015,138,17.11,1.37,81.11,0.2
2015,139,17.31,3.25,91.76,3.63
2015,140,18.17,2.59,87.33,0.85
2015,141,17.25,3.65,78.68,0.94
2015,142,16.72,6.94,80.78,12.89
2015,143,16.31,4.47,73.16,0.15
2015,144,15.86,2.05,67.76,0.0
2015,145,15.0,2.31,75.17,0.04
2015,146,15.21,1.97,74.93,0.05
2015,147,16.28,1.71,67.31,0.01
2015,148,16.64,2.19,76.27,0.04
2015,149,17.46,2.64,80.83,0.38
2015,150,15.66,2.44,70.8,0.04
2015,151,14.37,3.27,70.68,0.69
2015,152,13.13,5.14,68.13,0.15
2015,153,12.6,4.62,74.04,0.02
2015,154,13.55,3.04,73.1,0.01
2015,155,13.65,2.5,71.61,0.03
2015,156,13.06,3.39,76.58,1.11
2015,157,16.12,2.11,74.6,0.02
2015,158,15.16,2.96,81.62,0.02
2015,159,16.05,3.29,77.61,0.01
2015,160,16.79,2.74,67.1,0.0
2015,161,15.34,3.9,75.01,0.26
2015,162,15.82,2.53,70.14,0.12
