latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
48.18631,-64.92135,300.85,0.42,0.37,2024-12-01,0633,N20,VIIRS,n,2.0NRT,270.12,1.28,N
43.2617,-79.81045,304.91,0.55,0.51,2024-12-01,0635,N20,VIIRS,n,2.0NRT,257.42,2.45,N
46.04493,-73.1412,297.67,0.45,0.39,2024-12-01,0635,N20,VIIRS,n,2.0NRT,272.37,1.07,N
42.80448,-80.10323,303.93,0.56,0.52,2024-12-01,0635,N20,VIIRS,n,2.0NRT,268.04,2.18,N
42.80877,-80.0956,308.61,0.56,0.52,2024-12-01,0635,N20,VIIRS,n,2.0NRT,268.95,1.45,N
42.80925,-80.10257,298.66,0.56,0.52,2024-12-01,0635,N20,VIIRS,n,2.0NRT,264.56,1.45,N
42.94481,-82.42084,295.77,0.37,0.58,2024-12-01,0635,N20,VIIRS,n,2.0NRT,265.02,1.33,N
57.00608,-111.47504,335.77,0.4,0.37,2024-12-01,0953,N20,VIIRS,n,2.0NRT,259.02,3.74,N
56.41101,-119.06185,335.32,0.43,0.38,2024-12-01,0956,N20,VIIRS,n,2.0NRT,241.85,8.74,N
56.41185,-119.06875,344.41,0.43,0.38,2024-12-01,0956,N20,VIIRS,n,2.0NRT,247.64,8.74,N
56.41529,-119.06742,323.42,0.43,0.38,2024-12-01,0956,N20,VIIRS,n,2.0NRT,239.51,2.83,N
57.1002,-117.12286,328.38,0.4,0.37,2024-12-01,0956,N20,VIIRS,n,2.0NRT,244.36,4.29,N
57.10176,-117.10829,328.31,0.4,0.37,2024-12-01,0956,N20,VIIRS,n,2.0NRT,244.51,3.27,N
57.10263,-117.11482,333.65,0.4,0.37,2024-12-01,0956,N20,VIIRS,n,2.0NRT,244.58,4.29,N
56.40757,-119.06313,325.91,0.43,0.38,2024-12-01,0956,N20,VIIRS,n,2.0NRT,242.72,8.74,N
56.40841,-119.07005,342.22,0.43,0.38,2024-12-01,0956,N20,VIIRS,n,2.0NRT,244.75,8.74,N
54.22645,-112.51155,327.01,0.41,0.37,2024-12-01,0956,N20,VIIRS,n,2.0NRT,248.16,3.74,N
54.22974,-112.50974,322.28,0.41,0.37,2024-12-01,0956,N20,VIIRS,n,2.0NRT,247.43,3.74,N
54.74829,-114.16296,324.72,0.39,0.36,2024-12-01,0956,N20,VIIRS,n,2.0NRT,243.78,3.46,N
55.22089,-116.58195,344.69,0.39,0.36,2024-12-01,0956,N20,VIIRS,n,2.0NRT,245.18,5.81,N
57.00581,-111.47849,335.82,0.75,0.77,2024-12-01,1134,N20,VIIRS,n,2.0NRT,255.49,5.49,N
56.41238,-119.0693,351.16,0.47,0.64,2024-12-01,1136,N20,VIIRS,n,2.0NRT,241.68,8.08,N
56.4124,-119.06723,349.01,0.47,0.64,2024-12-01,1136,N20,VIIRS,n,2.0NRT,241.62,8.53,N
56.40762,-119.07354,327.42,0.47,0.64,2024-12-01,1136,N20,VIIRS,n,2.0NRT,237.92,3.54,N
43.2738,-79.79802,301.96,0.48,0.65,2024-12-02,0616,N20,VIIRS,n,2.0NRT,269.48,1.79,N
43.27398,-79.80402,298.54,0.48,0.65,2024-12-02,0616,N20,VIIRS,n,2.0NRT,269.57,1.79,N
43.27415,-79.81004,320.81,0.48,0.65,2024-12-02,0616,N20,VIIRS,n,2.0NRT,271.02,3.65,N
43.26402,-79.81115,304.42,0.48,0.65,2024-12-02,0616,N20,VIIRS,n,2.0NRT,267.87,1.69,N
43.27575,-79.79835,299.4,0.48,0.65,2024-12-02,0616,N20,VIIRS,n,2.0NRT,271.74,1.61,N
43.27003,-79.81071,313.99,0.48,0.65,2024-12-02,0616,N20,VIIRS,n,2.0NRT,270.61,1.69,N
48.18648,-64.92024,304.13,0.39,0.36,2024-12-02,0616,N20,VIIRS,n,2.0NRT,269.86,1.03,N
