latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
54.34691,-116.13898,369.65,1.05,1.02,2024-12-02,1815,Terra,MODIS,99,6.1NRT,268.52,0,D
54.77506,-115.81721,307.31,1.05,1.03,2024-12-02,1815,Terra,MODIS,65,6.1NRT,270.98,13.17,D
49.63722,-120.47159,316.41,1,1,2024-12-02,1817,Terra,MODIS,58,6.1NRT,266.15,20.12,D
49.26743,-120.64778,304.16,1.04,1.02,2024-12-02,2154,Aqua,MODIS,55,6.1NRT,269.31,11.18,D
49.27637,-120.64995,310.42,1.04,1.02,2024-12-02,2154,Aqua,MODIS,70,6.1NRT,269.51,15.92,D
49.27457,-120.66364,326.04,1.04,1.02,2024-12-02,2154,Aqua,MODIS,84,6.1NRT,267.28,30.98,D
49.63316,-120.46474,302.65,1.05,1.02,2024-12-02,2154,Aqua,MODIS,38,6.1NRT,268.12,9.49,D
49.6421,-120.46737,335.96,1.05,1.02,2024-12-02,2154,Aqua,MODIS,90,6.1NRT,269.64,45.36,D
49.64033,-120.48119,321.76,1.05,1.02,2024-12-02,2154,Aqua,MODIS,81,6.1NRT,269.52,26.25,D
54.32038,-118.94835,321.44,2,1.38,2024-12-03,0527,Terra,MODIS,100,6.1NRT,274.64,65.72,N
54.31726,-118.94203,325.8,2,1.38,2024-12-03,0527,Terra,MODIS,100,6.1NRT,275.11,77.17,N
54.32221,-118.91644,308.46,2,1.38,2024-12-03,0527,Terra,MODIS,61,6.1NRT,274.57,36.19,N
54.33446,-118.91859,310.64,2,1.38,2024-12-03,0527,Terra,MODIS,72,6.1NRT,274.56,39.16,N
54.32121,-118.93164,302.98,1.18,1.08,2024-12-03,1123,Aqua,MODIS,53,6.1NRT,273.58,12.46,N
49.60656,-120.59582,300.08,2.21,1.44,2024-12-03,1855,Terra,MODIS,25,6.1NRT,268.1,26.55,D
49.37741,-120.60677,313.85,3.06,1.66,2024-12-03,2057,Aqua,MODIS,74,6.1NRT,269.12,85.32,D
49.36846,-120.63985,312.86,3.08,1.67,2024-12-03,2057,Aqua,MODIS,73,6.1NRT,270.02,82.71,D
49.37801,-120.61053,309.59,3.06,1.66,2024-12-03,2057,Aqua,MODIS,16,6.1NRT,269.04,62.54,D
54.32436,-115.99263,316.79,1.33,1.14,2024-12-03,2057,Aqua,MODIS,77,6.1NRT,273.88,29.61,D
54.32056,-116.01141,337.21,1.33,1.14,2024-12-03,2057,Aqua,MODIS,90,6.1NRT,274.65,66.77,D
54.33018,-116.01719,335.96,1.33,1.14,2024-12-03,2057,Aqua,MODIS,90,6.1NRT,275.08,62.9,D
49.37809,-120.61747,304.69,1.89,1.34,2024-12-04,0427,Terra,MODIS,56,6.1NRT,265.45,28.59,N
54.78923,-115.78493,303.81,1.18,1.08,2024-12-04,2137,Aqua,MODIS,56,6.1NRT,268.98,13.34,D
54.33008,-118.92768,357.28,1.01,1,2024-12-04,2137,Aqua,MODIS,0,6.1NRT,266.97,85.88,D
54.99839,-120.62328,306.64,1.14,1.07,2024-12-05,0508,Terra,MODIS,69,6.1NRT,274.31,14.59,N
54.32262,-118.96768,307.7,1.27,1.12,2024-12-05,0508,Terra,MODIS,27,6.1NRT,271.52,16.36,N
54.33623,-118.93141,300.58,1.27,1.12,2024-12-05,0508,Terra,MODIS,10,6.1NRT,271.16,11.3,N
54.33435,-118.95092,308.18,1.27,1.12,2024-12-05,0508,Terra,MODIS,42,6.1NRT,271.99,17.24,N
54.33248,-118.97033,323.3,1.27,1.12,2024-12-05,0508,Terra,MODIS,100,6.1NRT,272.44,35.17,N
54.8526,-115.83507,320.48,1.73,1.29,2024-12-05,0508,Terra,MODIS,100,6.1NRT,274.42,52.09,N
54.98902,-120.62045,330,1.14,1.07,2024-12-05,0508,Terra,MODIS,100,6.1NRT,275.38,40.57,N
56.08317,-115.12504,311.34,1.53,1.22,2024-12-05,1834,Terra,MODIS,71,6.1NRT,270.09,30.22,D
55.86539,-115.79482,301.25,1.46,1.19,2024-12-05,1834,Terra,MODIS,43,6.1NRT,271.73,16.21,D
53.9065,-116.54306,355.51,1.55,1.23,2024-12-05,1836,Terra,MODIS,85,6.1NRT,277.75,149.46,D
53.97578,-117.47659,330.97,1.41,1.18,2024-12-05,1836,Terra,MODIS,87,6.1NRT,268.87,55.95,D
55.04053,-116.01913,314,1.51,1.21,2024-12-05,1836,Terra,MODIS,74,6.1NRT,272.99,32.03,D
55.03269,-116.00508,327.09,1.51,1.21,2024-12-05,1836,Terra,MODIS,85,6.1NRT,273.99,54.26,D
55.03591,-115.99751,327.68,1.51,1.21,2024-12-05,1836,Terra,MODIS,85,6.1NRT,274.17,56.88,D
54.32829,-116.14793,333.56,1.56,1.23,2024-12-05,1836,Terra,MODIS,89,6.1NRT,271.58,73.63,D
55.47153,-114.27296,312.61,1.62,1.25,2024-12-05,2040,Aqua,MODIS,59,6.1NRT,271.6,30.68,D
