latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
46.04363,-73.14433,297.48,0.51,0.41,2025-01-01,0631,N,VIIRS,n,2.0NRT,268.65,1.55,N
55.64818,-112.29297,320.25,0.39,0.36,2025-01-01,0951,N,VIIRS,n,2.0NRT,251.6,3.17,N
54.12277,-111.77706,323.2,0.4,0.37,2025-01-01,0951,N,VIIRS,n,2.0NRT,250.17,2.6,N
56.24786,-120.41487,326.05,0.5,0.41,2025-01-01,0951,N,VIIRS,n,2.0NRT,249.49,4.53,N
56.76768,-121.1594,321.27,0.54,0.42,2025-01-01,0951,N,VIIRS,n,2.0NRT,253,2.89,N
56.24672,-120.41505,320.18,0.38,0.59,2025-01-01,1132,N,VIIRS,n,2.0NRT,247.49,1.93,N
55.6428,-112.29486,355.31,0.41,0.37,2025-01-02,0932,N,VIIRS,n,2.0NRT,254.65,18.5,N
55.64449,-112.28057,337.43,0.41,0.37,2025-01-02,0932,N,VIIRS,n,2.0NRT,250.45,12.22,N
55.64533,-112.287,367,0.41,0.37,2025-01-02,0932,N,VIIRS,h,2.0NRT,257.47,18.5,N
55.64617,-112.29346,356.73,0.41,0.37,2025-01-02,0932,N,VIIRS,n,2.0NRT,253.42,18.5,N
55.64787,-112.2792,328.41,0.41,0.37,2025-01-02,0932,N,VIIRS,n,2.0NRT,250.39,8.93,N
55.64871,-112.28564,355.7,0.41,0.37,2025-01-02,0932,N,VIIRS,n,2.0NRT,255.73,10.91,N
55.64955,-112.29209,322.58,0.41,0.37,2025-01-02,0932,N,VIIRS,n,2.0NRT,247.32,10.91,N
55.63774,-112.28336,324.05,0.41,0.37,2025-01-02,0932,N,VIIRS,n,2.0NRT,247.62,3.06,N
55.63859,-112.28981,331.18,0.41,0.37,2025-01-02,0932,N,VIIRS,n,2.0NRT,248.06,5.8,N
55.63942,-112.29626,334.56,0.41,0.37,2025-01-02,0932,N,VIIRS,n,2.0NRT,248.86,5.8,N
55.64196,-112.28841,367,0.41,0.37,2025-01-02,0932,N,VIIRS,h,2.0NRT,255.65,18.5,N
55.64112,-112.28197,353.37,0.41,0.37,2025-01-02,0932,N,VIIRS,n,2.0NRT,251.78,12.22,N
55.63863,-112.27887,325.41,0.52,0.67,2025-01-02,1112,N,VIIRS,n,2.0NRT,248.26,15.98,N
55.64139,-112.28615,367,0.52,0.67,2025-01-02,1112,N,VIIRS,h,2.0NRT,255.34,15.98,N
55.65037,-112.29073,345.97,0.52,0.66,2025-01-02,1112,N,VIIRS,n,2.0NRT,248,25,N
55.64763,-112.28361,354.16,0.52,0.67,2025-01-02,1112,N,VIIRS,n,2.0NRT,262.6,25,N
55.64487,-112.27642,335.01,0.52,0.67,2025-01-02,1112,N,VIIRS,n,2.0NRT,250.16,17.18,N
55.64523,-112.29701,342.85,0.52,0.66,2025-01-02,1112,N,VIIRS,n,2.0NRT,247.41,25,N
55.64248,-112.28984,367,0.52,0.67,2025-01-02,1112,N,VIIRS,h,2.0NRT,255.84,25,N
55.63968,-112.28256,352.69,0.52,0.67,2025-01-02,1112,N,VIIRS,n,2.0NRT,249.85,17.18,N
55.65266,-112.27703,367,0.52,0.67,2025-01-02,1112,N,VIIRS,h,2.0NRT,254.02,20.2,N
55.64415,-112.29343,367,0.52,0.67,2025-01-02,1112,N,VIIRS,h,2.0NRT,252.96,31.75,N
46.52163,-84.37727,336.51,0.39,0.36,2025-01-03,0735,N,VIIRS,n,2.0NRT,270.04,9.17,N
50.52069,-104.63632,325.47,0.4,0.37,2025-01-03,0913,N,VIIRS,n,2.0NRT,247.46,2.22,N
