YEAR,DOY,T2M,WS2M,RH2M,PRECTOTCORR
2015,1,-1.62,0.98,99.26,3.7
2015,2,-4.67,0.8,99.57,4.56
2015,3,-19.0,1.68,99.49,4.01
2015,4,-16.91,1.6,99.62,13.03
2015,5,-14.83,1.04,99.7,21.29
2015,6,-8.92,1.03,100.0,14.6
2015,7,-0.44,0.39,99.37,2.68
2015,8,-8.44,1.46,99.79,0.1
2015,9,-3.31,0.54,93.43,1.49
2015,10,-3.78,0.66,99.55,0.85
2015,11,-9.23,0.61,99.84,0.16
2015,12,-5.25,0.59,99.86,2.81
2015,13,-0.25,0.86,99.2,5.75
2015,14,-1.65,0.42,97.95,0.33
2015,15,-1.49,0.89,97.14,7.31
2015,16,-3.9,0.67,99.62,1.8
2015,17,-2.42,0.6,99.36,3.58
2015,18,-4.33,0.84,99.4,7.6
2015,19,-2.59,0.6,99.62,5.18
2015,20,-3.05,0.95,99.28,5.41
2015,21,-1.2,1.79,98.73,12.87
2015,22,0.06,1.22,99.05,9.42
2015,23,0.17,1.03,99.05,10.41
2015,24,-0.33,1.04,99.13,27.52
2015,25,0.14,0.61,98.85,13.53
2015,26,0.09,0.35,98.59,19.51
2015,27,-3.17,1.16,98.9,3.41
2015,28,-6.74,0.64,98.77,1.15
2015,29,-4.56,0.51,99.53,6.1
2015,30,-3.21,0.52,99.24,15.42
2015,31,-9.83,0.7,99.05,0.33
2015,32,-6.7,0.82,99.75,12.25
2015,33,-6.89,0.77,99.73,10.44
2015,34,-8.59,0.74,100.0,6.98
2015,35,-4.64,0.61,99.65,1.22
2015,36,-3.9,1.23,99.54,25.35
2015,37,0.15,1.29,99.04,23.44
2015,38,-3.92,0.67,99.09,2.62
2015,39,-5.29,0.43,99.47,2.5
2015,40,-7.46,0.76,99.92,0.41
2015,41,-5.91,0.45,99.4,0.65
2015,42,-0.74,0.53,98.68,16.39
2015,43,0.25,0.52,99.4,10.89
2015,44,-0.19,0.56,99.27,18.44
2015,45,-3.25,0.53,99.68,1.97
2015,46,-3.57,0.45,99.23,0.17
2015,47,-3.5,0.65,96.39,0.02
2015,48,0.11,0.82,57.78,0.0
2015,49,-0.52,0.84,87.03,3.35
2015,50,-2.33,0.71,99.38,2.57
2015,51,-6.36,0.69,99.14,0.16
2015,52,-6.22,0.66,98.41,0.09
2015,53,-2.35,0.64,62.74,0.0
2015,54,-3.45,0.84,83.01,0.03
2015,55,-4.31,0.62,97.96,0.41
2015,56,-4.49,0.57,98.39,2.38
2015,57,-3.85,0.75,99.25,3.83
2015,58,-10.12,1.16,98.93,0.06
2015,59,-8.05,0.99,81.0,0.0
2015,60,-7.36,0.87,91.43,0.89
2015,61,-12.81,0.77,98.44,0.01
2015,62,-8.17,0.58,91.11,0.03
2015,63,-5.8,0.7,99.48,2.12
2015,64,-1.08,1.12,99.15,12.77
2015,65,-0.04,0.51,98.84,3.77
2015,66,-0.68,0.45,99.23,1.21
2015,67,-1.03,0.98,99.44,6.72
2015,68,-1.0,1.0,99.3,4.16
2015,69,-2.38,0.5,98.97,1.7
2015,70,0.1,0.83,98.42,12.74
2015,71,0.1,1.47,98.93,16.11
2015,72,0.26,1.58,99.24,9.99
2015,73,-3.34,1.04,98.58,10.96
2015,74,-7.59,0.85,96.99,0.18
2015,75,-6.02,0.81,97.67,0.0
2015,76,-3.39,0.69,96.98,0.31
2015,77,-1.43,0.58,99.09,5.54
2015,78,0.23,0.41,98.75,8.85
2015,79,-0.82,0.65,98.68,6.86
2015,80,-2.13,0.68,95.84,0.57
2015,81,-2.98,0.59,96.25,1.04
2015,82,-2.48,0.66,97.96,2.47
2015,83,-3.12,0.56,95.05,1.56
2015,84,-0.58,0.6,98.85,17.95
2015,85,0.37,0.49,98.74,26.83
2015,86,-0.18,0.39,97.34,11.05
