latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
36.9806,126.6929,300,1,1,2015-01-02,0450,Aqua,MODIS,8,6.03,277.8,7.4,D,2
36.9821,126.7045,303.2,1,1,2015-01-02,0450,Aqua,MODIS,54,6.03,279.6,9.2,D,2
36.9819,126.709,300.4,1,1,2015-01-04,0437,Aqua,MODIS,29,6.03,281.5,5.7,D,2
36.9801,126.6975,304.1,1,1,2015-01-04,0437,Aqua,MODIS,55,6.03,282.6,7.9,D,2
36.0027,129.3885,302.8,1,1,2015-01-10,0222,Terra,MODIS,47,6.03,281.6,8.2,D,2
35.9235,128.897,312.5,1.1,1,2015-01-11,0443,Aqua,MODIS,68,6.03,278.8,15.2,D,0
36.9859,126.7049,301.4,1.1,1,2015-01-24,0235,Terra,MODIS,25,6.03,281.5,7,D,2
35.9267,128.8947,303.8,1.1,1,2015-01-27,0444,Aqua,MODIS,57,6.03,282.3,8.9,D,0
35.9212,128.9013,308.5,1.1,1,2015-01-27,0444,Aqua,MODIS,58,6.03,282.4,11,D,0
35.9983,129.3943,301.4,1.1,1,2015-01-27,0444,Aqua,MODIS,37,6.03,288.6,7.1,D,2
36.9822,126.6972,301.8,1,1,2015-01-27,0444,Aqua,MODIS,43,6.03,280.2,7.1,D,2
36.9871,126.7083,300.8,1.2,1.1,2015-01-31,0241,Terra,MODIS,30,6.03,280.1,8.9,D,2
36.9841,126.697,300.6,1.1,1.1,2015-02-04,0216,Terra,MODIS,34,6.03,280.4,8.3,D,2
35.159,127.9545,302.4,1.3,1.1,2015-02-07,0425,Aqua,MODIS,49,6.03,284.8,10.1,D,2
35.2463,128.1525,303.4,1.3,1.1,2015-02-07,0425,Aqua,MODIS,56,6.03,286.8,9.2,D,0
37.1725,129.1761,350.8,2.5,1.5,2015-02-08,0509,Aqua,MODIS,96,6.03,273.5,258.7,D,0
37.1704,129.147,328.8,2.5,1.5,2015-02-08,0509,Aqua,MODIS,86,6.03,271.2,121,D,0
36.9838,126.705,301.4,1.1,1,2015-02-09,0235,Terra,MODIS,44,6.03,280.2,7,D,2
36.9857,126.6934,301,1.1,1,2015-02-09,0235,Terra,MODIS,36,6.03,278,6.4,D,2
35.3197,128.3951,304.2,1.3,1.1,2015-02-09,0235,Terra,MODIS,55,6.03,278.9,13.2,D,0
37.1806,129.1577,302.6,1.5,1.2,2015-02-09,0413,Aqua,MODIS,53,6.03,268.9,18.2,D,0
35.7976,126.9281,300.7,1,1,2015-02-11,0223,Terra,MODIS,38,6.03,280.3,5.3,D,0
