latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.48544,129.05594,330.99,0.4,0.37,2024-12-01,0425,N20,VIIRS,n,2.0NRT,290.79,2.76,D
36.01884,129.38626,298.11,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,281.65,1.62,N
36.01082,129.38496,302.22,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,280.74,0.87,N
36.00773,129.37567,313,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,279.03,1.05,N
36.0264,129.39183,299.57,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,283.7,1.72,N
36.02739,129.39317,299.52,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,283.43,0.96,N
37.48632,129.05412,331.94,0.42,0.45,2024-12-01,1645,N20,VIIRS,n,2.0NRT,284.5,4.31,N
36.0314,129.39383,302.62,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,284.14,0.96,N
36.98248,126.70769,302.94,0.55,0.51,2024-12-01,1645,N20,VIIRS,n,2.0NRT,280.91,3.05,N
37.59743,129.00987,306.16,0.42,0.45,2024-12-01,1645,N20,VIIRS,n,2.0NRT,280.91,1.91,N
36.98399,126.68884,308.42,0.55,0.51,2024-12-01,1645,N20,VIIRS,n,2.0NRT,284.7,2.08,N
36.98872,126.68944,296.68,0.55,0.51,2024-12-01,1645,N20,VIIRS,n,2.0NRT,281.05,2.08,N
37.42243,129.17076,299.82,0.41,0.45,2024-12-01,1645,N20,VIIRS,n,2.0NRT,279.69,1.16,N
37.42659,129.17111,315.96,0.41,0.45,2024-12-01,1645,N20,VIIRS,n,2.0NRT,280.55,2.26,N
37.48262,129.0488,322.45,0.42,0.45,2024-12-01,1645,N20,VIIRS,n,2.0NRT,283.49,3.1,N
36.00635,129.38861,296.61,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,281.56,1.39,N
36.00589,129.39291,296.61,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,284.15,1.21,N
36.00372,129.37503,298.41,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,279.1,1.05,N
36.00188,129.39229,305.99,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,280.96,1.21,N
36.00142,129.39658,312.15,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,282.74,1.21,N
36.0193,129.38191,336.24,0.39,0.44,2024-12-01,1645,N20,VIIRS,n,2.0NRT,284.26,3.78,N
35.97248,126.6066,311.99,0.55,0.51,2024-12-01,1647,N20,VIIRS,n,2.0NRT,279.17,2.27,N
35.97523,126.60577,313,0.55,0.51,2024-12-01,1647,N20,VIIRS,n,2.0NRT,279.38,3.01,N
35.50015,129.3481,295.37,0.38,0.44,2024-12-01,1647,N20,VIIRS,n,2.0NRT,284.49,0.7,N
35.4997,129.3524,297.07,0.38,0.44,2024-12-01,1647,N20,VIIRS,n,2.0NRT,282.07,0.75,N
35.44671,129.33751,297.93,0.38,0.44,2024-12-01,1647,N20,VIIRS,n,2.0NRT,285.02,2.12,N
35.37217,128.48663,310.84,0.42,0.46,2024-12-01,1647,N20,VIIRS,n,2.0NRT,278.25,1.88,N
35.37145,128.48402,297.49,0.42,0.46,2024-12-01,1647,N20,VIIRS,n,2.0NRT,275.87,0.88,N
35.37097,128.48872,299.85,0.42,0.46,2024-12-01,1647,N20,VIIRS,n,2.0NRT,278.32,1.13,N
35.10085,128.86284,296.21,0.4,0.44,2024-12-01,1647,N20,VIIRS,n,2.0NRT,278.68,0.82,N
35.08328,128.98944,336.29,0.4,0.44,2024-12-01,1647,N20,VIIRS,n,2.0NRT,281.64,3.7,N
34.80853,126.7737,329.77,0.4,0.44,2024-12-02,0408,N20,VIIRS,n,2.0NRT,290.04,4.09,D
34.81652,126.77161,336.59,0.4,0.44,2024-12-02,0408,N20,VIIRS,n,2.0NRT,288.27,4.37,D
37.42418,129.17564,329.25,0.43,0.38,2024-12-02,0408,N20,VIIRS,n,2.0NRT,290.17,3.49,D
36.9842,126.70689,321.51,0.51,0.66,2024-12-02,1628,N20,VIIRS,n,2.0NRT,278.57,2.81,N
37.5994,129.01128,318.68,0.38,0.59,2024-12-02,1628,N20,VIIRS,n,2.0NRT,284.9,2.03,N
37.48661,129.04788,318.77,0.38,0.59,2024-12-02,1628,N20,VIIRS,n,2.0NRT,282.97,2.65,N
37.48639,129.05177,318.21,0.38,0.59,2024-12-02,1628,N20,VIIRS,n,2.0NRT,279.55,2.01,N
37.48615,129.05582,302.66,0.38,0.59,2024-12-02,1628,N20,VIIRS,n,2.0NRT,281.29,2.01,N
37.42508,129.17148,324.29,0.38,0.58,2024-12-02,1628,N20,VIIRS,n,2.0NRT,284.15,2.25,N
37.42296,129.16875,296.24,0.38,0.58,2024-12-02,1628,N20,VIIRS,n,2.0NRT,278.02,1.06,N
37.4227,129.1729,311.71,0.38,0.58,2024-12-02,1628,N20,VIIRS,n,2.0NRT,279.66,1.06,N
36.98516,126.68343,307.44,0.51,0.66,2024-12-02,1628,N20,VIIRS,n,2.0NRT,276.12,1.76,N
36.98492,126.6893,300.92,0.51,0.66,2024-12-02,1628,N20,VIIRS,n,2.0NRT,281.42,1.76,N
36.03056,129.39409,306.01,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,286.11,1.85,N
36.02077,129.38097,324.85,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,284.49,1.6,N
36.02102,129.377,306.53,0.36,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,281.89,1.64,N
36.02053,129.38501,297.76,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,283.12,1.6,N
36.03123,129.39192,300.62,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,283.33,0.97,N
36.02151,129.37889,319.54,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,282.44,2.04,N
36.02124,129.38292,309.56,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,283.52,1.34,N
36.02096,129.38693,302.72,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,284.46,1.34,N
36.0107,129.38184,300.35,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,282.74,1.12,N
36.00597,129.37329,295.7,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,280.15,0.48,N
36.0057,129.37732,295.06,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,280.94,0.48,N
36.0049,129.3893,307.13,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,284.27,1.41,N
35.99937,129.39278,319.59,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,281.68,1.41,N
35.50034,129.35039,299.03,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,284.97,0.67,N
35.50031,129.35083,298.69,0.35,0.57,2024-12-02,1628,N20,VIIRS,n,2.0NRT,284.43,0.66,N
35.08657,128.98975,299.22,0.37,0.58,2024-12-02,1628,N20,VIIRS,n,2.0NRT,281.76,0.81,N
35.08124,128.98904,323.6,0.37,0.58,2024-12-02,1628,N20,VIIRS,n,2.0NRT,280.92,1.41,N
37.48402,129.04317,297.69,0.47,0.64,2024-12-02,1808,N20,VIIRS,n,2.0NRT,275.56,0.74,N
37.42349,129.16699,317.03,0.48,0.65,2024-12-02,1808,N20,VIIRS,n,2.0NRT,278.69,1.85,N
37.22976,128.31996,297.04,0.44,0.62,2024-12-02,1808,N20,VIIRS,n,2.0NRT,274.38,0.67,N
37.20518,128.29855,297.79,0.44,0.62,2024-12-02,1808,N20,VIIRS,n,2.0NRT,273.07,0.77,N
37.08314,128.27983,297.94,0.44,0.63,2024-12-02,1808,N20,VIIRS,n,2.0NRT,272.99,0.69,N
37.03013,128.31708,298.53,0.45,0.63,2024-12-02,1808,N20,VIIRS,n,2.0NRT,273.44,0.96,N
37.01386,128.33156,298,0.45,0.63,2024-12-02,1808,N20,VIIRS,n,2.0NRT,275.17,1.63,N
37.59966,129.00998,295.69,0.47,0.64,2024-12-02,1808,N20,VIIRS,n,2.0NRT,278.77,0.74,N
36.98331,126.71006,318.05,0.37,0.58,2024-12-02,1808,N20,VIIRS,n,2.0NRT,269.05,1.51,N
36.00918,129.38239,304.48,0.54,0.68,2024-12-02,1808,N20,VIIRS,n,2.0NRT,282.5,2.31,N
36.00754,129.38805,298.14,0.54,0.68,2024-12-02,1808,N20,VIIRS,n,2.0NRT,281.38,2.31,N
36.00003,129.39099,321.24,0.54,0.68,2024-12-02,1808,N20,VIIRS,n,2.0NRT,284.83,4.6,N
36.00492,129.37418,299.93,0.54,0.68,2024-12-02,1808,N20,VIIRS,n,2.0NRT,278.66,1.81,N
35.97398,126.605,300.16,0.39,0.59,2024-12-02,1808,N20,VIIRS,n,2.0NRT,275.03,1.15,N
35.08551,128.98422,296.08,0.55,0.68,2024-12-02,1808,N20,VIIRS,n,2.0NRT,280.07,0.53,N
36.98484,126.6916,330.88,0.32,0.55,2024-12-03,0351,N20,VIIRS,n,2.0NRT,286.81,2.98,D
37.60088,129.00847,297.91,0.71,0.75,2024-12-03,1607,N20,VIIRS,n,2.0NRT,273.4,1.27,N
37.48298,129.04564,295.33,0.7,0.75,2024-12-03,1607,N20,VIIRS,n,2.0NRT,273.94,3.28,N
37.48403,129.04494,300.73,0.7,0.75,2024-12-03,1607,N20,VIIRS,n,2.0NRT,275.09,1.36,N
37.48391,129.05183,298.77,0.7,0.75,2024-12-03,1607,N20,VIIRS,n,2.0NRT,271.46,1.36,N
37.42641,129.1694,304.05,0.69,0.74,2024-12-03,1607,N20,VIIRS,n,2.0NRT,274.59,1.39,N
37.42647,129.16936,305.14,0.69,0.74,2024-12-03,1607,N20,VIIRS,n,2.0NRT,274.48,1.89,N
35.08322,128.98781,305.58,0.69,0.74,2024-12-03,1609,N20,VIIRS,n,2.0NRT,275.6,1.51,N
36.01794,129.38,333.34,0.6,0.53,2024-12-03,1749,N20,VIIRS,n,2.0NRT,278.31,6.52,N
37.48662,129.05257,296.61,0.53,0.5,2024-12-03,1749,N20,VIIRS,n,2.0NRT,274.56,1.79,N
37.48365,129.04466,299.24,0.53,0.5,2024-12-03,1749,N20,VIIRS,n,2.0NRT,274.55,1.03,N
37.42452,129.1693,319.78,0.54,0.51,2024-12-03,1749,N20,VIIRS,n,2.0NRT,276.26,3.87,N
37.42571,129.16884,303.62,0.54,0.51,2024-12-03,1749,N20,VIIRS,n,2.0NRT,272.79,1.75,N
37.42431,129.17477,301.15,0.54,0.51,2024-12-03,1749,N20,VIIRS,n,2.0NRT,275.12,1.8,N
37.57032,126.62668,296.38,0.4,0.44,2024-12-03,1749,N20,VIIRS,n,2.0NRT,270.14,0.4,N
37.48666,126.63808,315.87,0.4,0.44,2024-12-03,1749,N20,VIIRS,n,2.0NRT,276.11,1.41,N
36.01915,129.38011,327.71,0.6,0.53,2024-12-03,1749,N20,VIIRS,n,2.0NRT,278.77,3.33,N
36.01447,129.37836,299.03,0.6,0.53,2024-12-03,1749,N20,VIIRS,n,2.0NRT,275.93,3.33,N
36.00977,129.37662,305.74,0.6,0.53,2024-12-03,1749,N20,VIIRS,n,2.0NRT,275.3,1.6,N
36.00824,129.38297,296.24,0.6,0.53,2024-12-03,1749,N20,VIIRS,n,2.0NRT,277.37,1.6,N
36.00201,129.38757,299.46,0.6,0.53,2024-12-03,1749,N20,VIIRS,n,2.0NRT,276.05,2.71,N
