latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
35.92414,128.91489,300.38,2.07,1.4,2024-12-02,0153,Terra,MODIS,34,6.1NRT,283.78,14.69,D
35.92121,128.90817,302.79,2.07,1.4,2024-12-02,0153,Terra,MODIS,51,6.1NRT,283.74,19.53,D
36.98843,126.69975,306.79,1.11,1.05,2024-12-02,1255,Terra,MODIS,30,6.1NRT,277.85,12.43,N
36.98209,126.70152,307.51,1.08,1.04,2024-12-04,1238,Terra,MODIS,72,6.1NRT,277.53,13.9,N
36.01004,129.37888,306.13,1.64,1.26,2024-12-05,0544,Aqua,MODIS,48,6.1NRT,284.88,17.4,D
36.98795,126.70534,312.53,1.35,1.15,2024-12-06,0117,Terra,MODIS,55,6.1NRT,283.43,21.52,D
36.98105,126.71021,303.55,1.02,1.01,2024-12-09,0136,Terra,MODIS,42,6.1NRT,280.44,8.55,D
37.82801,127.16904,306.74,1,1,2024-12-17,0529,Aqua,MODIS,64,6.1NRT,275.29,11.17,D
36.98333,126.71134,301.21,1.21,1.1,2024-12-24,0145,Terra,MODIS,43,6.1NRT,279.41,10.22,D
36.98775,126.70155,301.75,1,1,2024-12-31,0128,Terra,MODIS,41,6.1NRT,279.76,7.36,D
36.98155,126.69884,306.28,1.16,1.07,2024-12-31,1231,Terra,MODIS,49,6.1NRT,274.34,14.69,N
35.13032,126.70354,306.02,1.01,1,2025-01-01,0533,Aqua,MODIS,63,6.1NRT,282.53,9.62,D
36.9814,126.70499,300.94,1,1,2025-01-01,0533,Aqua,MODIS,37,6.1NRT,287,5.94,D
34.80176,126.76839,303.32,1.51,1.21,2025-01-13,0516,Aqua,MODIS,0,6.1NRT,270.25,15.05,D
36.98318,126.69535,306.17,1.01,1.01,2025-01-15,1240,Terra,MODIS,42,6.1NRT,272.23,13.07,N
36.00305,129.38507,303.31,1.16,1.07,2025-01-21,0537,Aqua,MODIS,48,6.1NRT,288.37,7.7,D
34.80902,126.76338,300.3,1.48,1.2,2025-01-23,0518,Aqua,MODIS,34,6.1NRT,282.64,10.83,D
35.58055,128.43408,300.75,1.18,1.08,2025-01-23,0518,Aqua,MODIS,41,6.1NRT,284.67,6.91,D
36.98425,126.69183,301.67,1.57,1.24,2025-01-24,0559,Aqua,MODIS,0,6.1NRT,284.1,13.21,D
35.49903,127.3689,306.49,1.3,1.13,2025-01-25,0141,Terra,MODIS,64,6.1NRT,278.11,14.58,D
