latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
37.48439,129.05573,335.35,0.38,0.36,2025-01-01,0423,N,VIIRS,n,2.0NRT,288.82,3.91,D
36.98255,126.71125,342.31,0.41,0.37,2025-01-01,0423,N,VIIRS,n,2.0NRT,291,5.47,D
35.8721,128.16754,330.38,0.39,0.36,2025-01-01,0423,N,VIIRS,n,2.0NRT,282.9,2.6,D
36.0051,129.38628,335.1,0.38,0.36,2025-01-01,0423,N,VIIRS,n,2.0NRT,290.21,3.73,D
35.99915,129.39203,325.75,0.38,0.36,2025-01-01,0423,N,VIIRS,n,2.0NRT,288.92,2.04,D
37.48838,126.64045,326.6,0.41,0.37,2025-01-01,0423,N,VIIRS,n,2.0NRT,286.85,2.29,D
37.48149,129.05174,301.25,0.49,0.49,2025-01-01,1643,N,VIIRS,n,2.0NRT,273.22,2.16,N
37.48634,126.64,304.3,0.33,0.56,2025-01-01,1643,N,VIIRS,n,2.0NRT,272.64,0.9,N
36.9883,126.69173,296.31,0.33,0.55,2025-01-01,1643,N,VIIRS,n,2.0NRT,275.47,1.15,N
36.98341,126.68744,302.27,0.33,0.55,2025-01-01,1643,N,VIIRS,n,2.0NRT,277.73,1.15,N
36.98316,126.69122,317.43,0.33,0.55,2025-01-01,1643,N,VIIRS,n,2.0NRT,281.97,1.15,N
36.98189,126.71002,313.79,0.33,0.55,2025-01-01,1643,N,VIIRS,n,2.0NRT,276.56,2.01,N
36.02816,129.39697,304.41,0.45,0.47,2025-01-01,1643,N,VIIRS,n,2.0NRT,278.89,2.49,N
36.00736,129.38362,301.02,0.46,0.47,2025-01-01,1643,N,VIIRS,n,2.0NRT,279.36,1.96,N
36.00348,129.37784,309.35,0.46,0.47,2025-01-01,1643,N,VIIRS,n,2.0NRT,275.88,1.64,N
36.00206,129.39323,313.16,0.45,0.47,2025-01-01,1643,N,VIIRS,n,2.0NRT,278.69,3.7,N
37.48196,129.04637,297.22,0.49,0.49,2025-01-01,1643,N,VIIRS,n,2.0NRT,274.19,2.16,N
37.48552,129.05782,320.35,0.49,0.49,2025-01-01,1643,N,VIIRS,n,2.0NRT,277.87,1.82,N
37.48638,129.05843,307.9,0.49,0.49,2025-01-01,1643,N,VIIRS,n,2.0NRT,275.61,2.6,N
37.59567,129.01045,295.61,0.5,0.49,2025-01-01,1643,N,VIIRS,n,2.0NRT,274.13,1.44,N
37.5964,129.01288,302.4,0.5,0.49,2025-01-01,1643,N,VIIRS,n,2.0NRT,276.23,1.62,N
37.42525,129.17383,300.1,0.48,0.48,2025-01-01,1643,N,VIIRS,n,2.0NRT,275.48,1.2,N
37.48069,129.04968,295.61,0.69,0.74,2025-01-01,1821,N,VIIRS,n,2.0NRT,272.83,1.04,N
37.49193,126.64133,297.02,0.52,0.67,2025-01-01,1823,N,VIIRS,n,2.0NRT,272.75,0.92,N
